FID,Date,Latitude,Longitude,Oceans,Regions,SubRegions,Microplastics Measurement (density),Unit,Density Class Range,Concentration Class,Sampling Method,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,x,y
29,14/12/1992,10.98,-65.10,Atlantic Ocean,Caribbean Sea, ,0.058316,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7246898.850599999,1229838.8183000013
30,17/12/1992,11.30,-66.55,Atlantic Ocean,Caribbean Sea, ,0.004320,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7408312.112299999,1266145.1892000027
31,18/12/1992,11.97,-68.07,Atlantic Ocean,Caribbean Sea, ,0.008640,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7577517.738299999,1342294.4052000009
32,21/12/1992,11.98,-68.22,Atlantic Ocean,Caribbean Sea, ,0.008640,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7594215.661899999,1343432.3641000018
33,22/12/1992,12.22,-68.08,Atlantic Ocean,Caribbean Sea, ,0.004320,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7578630.9332,1370756.1084000021
34,23/12/1992,14.07,-68.70,Atlantic Ocean,Caribbean Sea, ,0.038876,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7647649.0175,1582248.6905000024
35,25/12/1992,17.72,-69.20,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7703308.762899999,2004800.8998000026
64,18/02/1993,18.75,-75.43,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8396829.190499999,2125524.4614000022
65,18/02/1993,18.75,-75.43,Atlantic Ocean,Caribbean Sea, ,0.004320,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8396829.190499999,2125524.4614000022
66,20/02/1993,15.90,-74.97,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8345622.2248,1793145.0969000012
67,20/02/1993,15.90,-74.97,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8345622.2248,1793145.0969000012
68,28/02/1993,10.53,-75.92,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8451375.740999999,1178849.2323000021
69,28/02/1993,10.53,-75.92,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8451375.740999999,1178849.2323000021
70,01/03/1993,11.95,-77.68,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8647298.0448,1340018.6137000024
71,01/03/1993,11.95,-77.68,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8647298.0448,1340018.6137000024
72,02/03/1993,12.48,-78.37,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8724108.4935,1400384.832700003
73,02/03/1993,12.48,-78.37,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8724108.4935,1400384.832700003
