FID,Date,Latitude,Longitude,Oceans,Regions,SubRegions,Microplastics Measurement (density),Unit,Density Class Range,Concentration Class,Sampling Method,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,x,y
2004,06/03/2001,16.47,-86.00,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9573476.2082,1859216.1258000024
2005,11/03/2001,16.54,-86.05,Atlantic Ocean,Caribbean Sea, ,0.006480,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9579042.182799999,1867343.3745000027
2006,11/03/2001,17.79,-85.87,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9559004.6744,2012982.9841000028
2007,12/03/2001,18.97,-85.53,Atlantic Ocean,Caribbean Sea, ,0.009000,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9521156.0475,2151404.2194
2008,12/03/2001,20.01,-85.08,Atlantic Ocean,Caribbean Sea, ,0.015120,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9471062.2767,2274215.6019
2009,13/03/2001,21.21,-84.68,Atlantic Ocean,Caribbean Sea, ,0.008640,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9426534.4804,2416936.5319
2053,23/04/2001,16.98,-61.87,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6887336.895399999,1918497.0471
2054,25/04/2001,17.16,-62.73,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6983071.657499999,1939457.9596000016
2055,01/05/2001,18.34,-64.09,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7134466.164899999,2077383.5956000015
2056,02/05/2001,18.72,-64.64,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7195691.8849,2121998.025800001
2057,12/05/2001,18.60,-64.94,Atlantic Ocean,Caribbean Sea, ,0.002272,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7229087.732099999,2107898.528000001
2186,03/11/2001,12.99,-60.14,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6694754.176299999,1458589.818400003
2187,04/11/2001,12.48,-60.25,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6706999.3203,1400384.832700003
2188,17/11/2001,17.60,-63.32,Atlantic Ocean,Caribbean Sea, ,0.010800,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7048750.157,1990781.8913000003
2189,17/11/2001,17.64,-63.45,Atlantic Ocean,Caribbean Sea, ,0.006480,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7063221.6908,1995453.8559000008
2190,28/11/2001,17.51,-63.67,Atlantic Ocean,Caribbean Sea, ,0.010800,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7087711.978799999,1980273.7491000034
2191,29/11/2001,17.17,-63.07,Atlantic Ocean,Caribbean Sea, ,0.061200,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7020920.2842999995,1940623.0489000008
2192,30/11/2001,16.67,-62.58,Atlantic Ocean,Caribbean Sea, ,0.028796,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6966373.7338,1882444.6716000028
2193,30/11/2001,16.41,-62.08,Atlantic Ocean,Caribbean Sea, ,0.011176,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6910713.988399999,1852252.249300003
2194,30/11/2001,16.17,-62.13,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6916279.9629999995,1824418.1273000017
2195,30/11/2001,16.09,-62.17,Atlantic Ocean,Caribbean Sea, ,0.019440,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6920732.7425999995,1815147.6228
2196,30/11/2001,15.98,-62.23,Atlantic Ocean,Caribbean Sea, ,0.006912,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6927411.912099998,1802406.7700000033
2197,02/12/2001,14.46,-61.18,Atlantic Ocean,Caribbean Sea, ,0.004320,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6810526.446699999,1627044.6042999998
2198,03/12/2001,14.48,-61.38,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6832790.344899999,1629343.932
2199,03/12/2001,14.52,-61.54,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6850601.463399999,1633943.2096000016
2200,03/12/2001,13.75,-61.48,Atlantic Ocean,Caribbean Sea, ,0.006480,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6843922.294,1545550.2013000026
2201,09/12/2001,13.33,-62.24,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6928525.106999999,1497459.2937000021
2202,11/12/2001,16.26,-67.54,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7518518.4081999995,1834851.933000002
2203,12/12/2001,16.51,-69.60,Atlantic Ocean,Caribbean Sea, ,0.001800,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7747836.5592,1863859.9076000005
2204,12/12/2001,16.96,-70.33,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7829099.7875,1916169.301900003
2205,14/12/2001,17.34,-73.36,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8166397.8445999995,1960439.2158000022
2206,15/12/2001,17.57,-74.14,Atlantic Ocean,Caribbean Sea, ,0.001800,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8253227.0474,1987278.5968000032
2207,15/12/2001,17.83,-74.96,Atlantic Ocean,Caribbean Sea, ,0.016200,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8344509.0298999995,2017659.900200002
2208,16/12/2001,18.45,-76.21,Atlantic Ocean,Caribbean Sea, ,0.005892,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8483658.393399999,2090288.1171000004
2209,17/12/2001,19.03,-77.84,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8665109.1633,2158468.2475000024
2210,18/12/2001,19.71,-79.09,Atlantic Ocean,Caribbean Sea, ,0.012960,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8804258.5268,2238707.905000001
2211,18/12/2001,20.21,-79.82,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8885521.755099999,2297924.9738
2233,06/03/2002,19.32,-73.86,Atlantic Ocean,Caribbean Sea, ,0.012340,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8222057.59,2192647.1985
2234,06/03/2002,19.03,-74.49,Atlantic Ocean,Caribbean Sea, ,0.002700,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8292188.869199999,2158468.2475000024
2235,07/03/2002,18.98,-74.99,Atlantic Ocean,Caribbean Sea, ,0.049676,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8347848.614599999,2152581.3806000017
2236,08/03/2002,18.93,-76.75,Atlantic Ocean,Caribbean Sea, ,0.008640,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8543770.918399999,2146696.2803000025
2237,08/03/2002,19.01,-77.90,Atlantic Ocean,Caribbean Sea, ,0.006480,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8671788.332799999,2156113.288400002
2238,08/03/2002,19.26,-78.73,Atlantic Ocean,Caribbean Sea, ,0.038876,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8764183.5102,2185570.7470000014
2239,09/03/2002,19.82,-79.60,Atlantic Ocean,Caribbean Sea, ,0.003600,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8861031.4671,2251719.6028000005
2261,15/04/2002,18.99,-76.67,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8534865.3591,2153758.6125000007
2262,16/04/2002,18.78,-77.82,Atlantic Ocean,Caribbean Sea, ,0.012960,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8662882.7735,2129051.5239000022
2263,16/04/2002,18.76,-78.17,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8701844.5953,2126700.0792000033
